id,name,description,itineraries,address,url,breakfast,lunch,dinner,drinks,coffee,snacks,city,region,country
630,La Cocina Municipal Marketplace,Fun mexican fare,Cheap Eats,101 Hyde St,https://lacocinamarketplace.com/,Yes,Yes,Yes,No,No,No,San Francisco,California,USA
631,Otra,Modern mexican,"Patio Life, Taco Party, Vegetarian",682 Haight St,https://www.otrasf.com/,No,No,Yes,Yes,No,No,San Francisco,California,USA
632,Rintaro,Izakaya,Seafood,82 14th St,http://izakayarintaro.com/,No,No,Yes,No,No,No,San Francisco,California,USA
633,um.ma,Korean BBQ,Patio Life,1220 9th Ave,http://www.ummasf.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
634,"Auntie April's Chicken, Waffles, & Soul Food Restaurant",Southern-style breakfast,Cheap Eats,4618 3rd St,https://orderauntieaprilsrestaurant.com/,Yes,Yes,Yes,No,No,No,San Francisco,California,USA
635,Shizen,Vegan sushi,Vegetarian,"370 14th St (at Valencia, Mission District)",https://www.shizensf.com/,No,No,Yes,No,No,No,San Francisco,California,USA
636,Mister Jiu's,Highly-reviewed western-style Chinese in a fancy space,Dining out in Style,28 Waverly Pl.,http://misterjius.com/,No,No,Yes,Yes,No,No,San Francisco,California,USA
637,Liholiho Yacht Club,Hawaiian-California-Chinese fusion,Dining out in Style,871 Sutter St.,https://liholihoyachtclub.com/,No,No,Yes,Yes,No,No,San Francisco,California,USA
638,Rooh,Modern Indian,Dining out in Style,333 Brannan St. #150,https://www.roohsf.com/,No,Yes,Yes,Yes,No,No,San Francisco,California,USA
639,Swan’s Oyster Depot,Highly-toursity seafood bar,Seafood,1517 Polk St,http://www.swanoysterdepot.us/,Yes,Yes,No,No,No,No,San Francisco,California,USA
640,Tú Lan,Cash-only hole in the wall Vietnamese,Cheap Eats,"8 6th St, San Francisco",,No,Yes,Yes,No,No,No,San Francisco,California,USA
641,Burma Superstar,Burmese with lots of veggie & GF options. Try the tea-leaf salad,"Gluten-free Friendly, Patio Life, Vegetarian",309 CLEMENT ST.,https://www.burmasuperstar.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
642,Rich Table,"Highly-reviewed, eclectic menu",Dining out in Style,http://www.google.com/maps/search/199%20Gough%20St%2C%20San%20Francisco%2C%20CA%2094102,https://www.richtablesf.com/,No,No,Yes,Yes,No,No,San Francisco,California,USA
643,BAIA,Vegetarian-friendly Italian,"Dining out in Style, Vegetarian",300 Grove St,https://www.baiasf.com/,No,Yes,Yes,Yes,No,No,San Francisco,California,USA
644,Souvla,Funky Greek with plant-based Lamb,Vegetarian,758 Valencia St,https://www.souvla.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
645,Deli Board,East-coast style bougie sandwiches,Burgerz & Friez,1058 Folsom St,http://www.deliboardsf.com/,No,Yes,No,No,No,No,San Francisco,California,USA
646,The Cavalier,French-style bistropub with great cocktails,"Belly up to the Bar, Dining out in Style",360 Jessie St,https://www.thecavaliersf.com/,No,No,Yes,No,No,No,San Francisco,California,USA
647,Tropisueño Mexican Kitchen,Classy mexican & margaritas,Taco Party,75 Yerba Buena Ln,http://www.tropisueno.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
648,Les Gourmands Bakery,Fancy french pastries ‘n stuff,Sweet Snacks,280 5th St in Mosso,http://www.lesgourmandsbakery.com/,No,Yes,No,No,Yes,Yes,San Francisco,California,USA
649,Kona's Street Market,Cute cocktail bar,Belly up to the Bar,32 3rd St,http://www.konastreetmarket.com/,No,No,No,Yes,No,No,San Francisco,California,USA
650,The Sentinel,Sammiches,Cheap Eats,37 New Montgomery St,https://www.thesentinelsf.com/,Yes,Yes,No,No,No,No,San Francisco,California,USA
651,The Bird,Fried chicken sammiches,Cheap Eats,115 New Montgomery St,https://www.thebirdsf.com/,No,Yes,Yes,Yes,No,No,San Francisco,California,USA
652,Lao Table,Upscale Thai & cocktails,Belly up to the Bar,149 2nd St,https://laotablesf.com/,No,Yes,Yes,Yes,No,No,San Francisco,California,USA
653,Darwin Cafe,Hole in the wall with small plates & sandwiches. Brunch and lunch choices.,Patio Life,212 Ritch St,http://www.darwincafesf.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
654,Cha Ya,Vegetarian Japanese,"Patio Life, Vegetarian",762 Valencia Street,https://www.chayasf.com/,No,Yes,No,No,No,No,San Francisco,California,USA
655,Marlowe,Californian comfort food & cocktails,Belly up to the Bar,500 Brannan St,https://marlowesf.getbento.com/,No,Yes,Yes,Yes,No,No,San Francisco,California,USA
656,54 Mint,Modern Italian with reasonable prices,Cheap Eats,16 Mint Plaza,https://www.54mint.com/,Yes,Yes,Yes,Yes,No,No,San Francisco,California,USA
657,The Grove,Healthier options with dietary choices,"Gluten-free Friendly, Vegetarian",690 Mission St at 3rd Street,https://thegrovesf.com/,Yes,Yes,Yes,No,No,No,San Francisco,California,USA
658,Saffron 685,Upscale turkish with lots of dietary options,"Dining out in Style, Gluten-free Friendly, Vegetarian",685 Townsend St,,No,Yes,Yes,No,No,No,San Francisco,California,USA
659,Lemonade,Healthier choices,"Gluten-free Friendly, Vegetarian",781 Mission St,https://lemonadela.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
660,SoMa Streat Food Park,Lots of choices,"Food Truck Fun, Patio Life",11th Street,http://www.somastreatfoodpark.com/vendors,No,Yes,Yes,No,No,No,San Francisco,California,USA
661,Mixt,Fancier healthy choices,"Gluten-free Friendly, Vegetarian",51 Yerba Buena Ln Between Mission & Market,https://www.mixt.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
662,Kichi Grill,Hidden food court gem for Japanese,"Cheap Eats, Vegetarian",Westfield San Francisco Center 865 Market St,,No,Yes,Yes,No,No,No,San Francisco,California,USA
663,Blue Bottle Cafe,Quick snacks and coffee,"Sweet Snacks, Vegetarian",66 Mint St Mint Plaza,https://bluebottlecoffee.com/cafes/mint-plaza,Yes,Yes,Yes,No,Yes,Yes,San Francisco,California,USA
664,The View Lounge,Art-deco skybar,Belly up to the Bar,780 Mission Street San Francisco Marriott Marquis,https://www.marriott.com/en-us/hotels/sfodt-san-francisco-marriott-marquis/dining/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe&y_source=1_OTA3MzkzNi03NjktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,No,No,No,Yes,No,No,San Francisco,California,USA
665,Rocco's Cafe,Casual italian,Vegetarian,1131 Folsom St,http://www.roccoscafe.com/,Yes,Yes,Yes,Yes,No,No,San Francisco,California,USA
666,Bluestone Lane,West coast coffee shop,Sweet Snacks,55 2nd St,https://bluestonelane.com/coffee-shops/soma-55-2nd-st-san-francisco/?y_source=1_MTI4ODYzNzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Yes,No,No,No,Yes,Yes,San Francisco,California,USA
667,Dumpling Time,Casual-but-elevated dumplings & beer,"Cheap Eats, Gluten-free Friendly, Vegetarian","11 Division St, San Francisco",https://www.dumplingtime.com/,No,Yes,Yes,Yes,No,No,San Francisco,California,USA
668,Mazarine Coffee,West coast cafe with food,"Gluten-free Friendly, Vegetarian",720 Market St,https://mazarinecoffee.com/,Yes,Yes,No,No,Yes,Yes,San Francisco,California,USA
669,Dandelion Cafe,Chocolate makers,Sweet Snacks,740 Valencia St,https://store.dandelionchocolate.com/pages/visit-us,No,Yes,No,No,Yes,Yes,San Francisco,California,USA
670,Katsumidori Sushi,Seasonal ingredient sushi,Seafood,"Prince Waikiki, 1F
100 Holomoana St",http://katsumidori-hawaii.com/,No,Yes,Yes,No,No,No,Honolulu,Hawaii,USA
671,Ginza Bairin,Fancy pants tonkatsu,Dining out in Style,255 Beach Walk,https://www.ginzabairinhawaii.com/,No,Yes,Yes,No,No,No,Honolulu,Hawaii,USA
672,Island Vintage Wine Bar,,Belly up to the Bar,"Royal Hawaiian Center,
Building C, Level 2
2301 Kalakaua Avenue",https://www.islandvintagewinebar.com/,No,No,No,Yes,No,No,Honolulu,Hawaii,USA
673,Senia,"Upscale fusion. Ala carte-style snacks and
 family-style dishes. No reservations required at lunch.",Dining out in Style,"75 N. King St. Honolulu, HI 96817",https://www.restaurantsenia.com,No,No,Yes,No,No,No,Honolulu,Hawaii,USA
674,Monkeypod,Local seasonal fare,"Dining out in Style, Local Specialities","92-1048 Olani Street
Kapolei, HI 96707",https://monkeypodkitchen.com/dine_ko_olina,No,Yes,Yes,Yes,No,No,Honolulu,Hawaii,USA
675,Mud Hen,Hipster Hawaiian Tapas,"Cheap Eats, Local Specialities",3452 Waialae Avenue,https://www.mudhenwater.com/,Yes,Yes,Yes,Yes,Yes,No,Honolulu,Hawaii,USA
676,House Without a Key,"Great views, great Mai Tai",Dining out in Style,https://maps.google.com/maps/place/2199%20Kalia%20Road%20Honolulu%20HI%2096815,https://www.halekulani.com/dining/house-without-a-key/,Yes,Yes,Yes,Yes,No,No,Honolulu,Hawaii,USA
677,Duc’s Bistro,Interesting and not too expensive,Dining out in Style,https://goo.gl/maps/A5UuoXYM91GRooc48,https://www.ducsbistro.com/,No,Yes,Yes,Yes,No,No,Honolulu,Hawaii,USA
678,Holey Grail Donuts,"Fun donuts, multiple locations","Food Truck Fun, Sweet Snacks",325 Seaside Ave,https://www.holeygraildonuts.com/,No,No,No,No,No,Yes,Honolulu,Hawaii,USA
679,Kai Coffee,In the Hyatt & Alohilani Resort,Greatest Hits,https://goo.gl/maps/BJYSaE6G13r,,No,No,No,No,Yes,No,Honolulu,Hawaii,USA
680,Hideout Coffee,Portland chain,Greatest Hits,https://goo.gl/maps/J2mmkte6mpG2,,No,No,No,No,Yes,No,Honolulu,Hawaii,USA
681,Ars Coffee,Near Diamond Head,Greatest Hits,https://goo.gl/maps/8hTtTZ23WW62,,No,No,No,No,Yes,No,Honolulu,Hawaii,USA
